month,amazon_price_raw,list_price_raw,sales_rank_raw,asin,brand_seed,category_seed,segment_seed,marketplace,amazon_key_used,list_key_used,sales_key_used,amazon_price_final,list_price_final,amazon_price,list_price,cpi,cpi_beauty,unemployment_rate,interest_rate,consumer_sentiment,retail_sales,pce,sp500,housing_price_index,credit_card_delinquency,inflation_yoy,retail_sales_yoy,real_interest_rate,post_pandemic_dummy,high_rate_regime_dummy,recession_dummy,cycle_phase,price_log,price_change_pct,discount_rate,category_mean_price,price_vs_category_mean,sales_rank_log,sales_rank_change,demand_proxy,real_price,was_null,amazon_price_imputed,was_imputed,coverage_pct,max_null_run,low_quality_product,list_price_raw_gt_1000,list_price_implausible,cycle_phase_new
2019-03-01,,139.26,72626.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,,139.26,,139.26,254.277,182.898,3.8,2.41,98.4,438196.0,14248.6,2834.4,207.053,2.5733333333333333,1.8831863513063984,3.083839308188674,0.5268136486936017,0,0,0,expansion,,,,73.52766666666666,,11.193078263422583,,1.3769173574202076e-05,,1,,0,76.47058823529412,5,0,0,0,expansion
2019-04-01,,119.99,213840.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,,119.99,,119.99,255.233,183.312,3.7,2.42,97.2,437735.0,14290.0,2945.83,207.505,2.59,2.000583470209061,2.7790626416122066,0.4194165297909391,0,0,0,expansion,,,,71.98153846153845,,12.2729833508128,141214.0,4.676393565282454e-06,,1,,0,76.47058823529412,5,0,0,0,expansion
2019-05-01,,139.39,417027.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,,139.39,,139.39,255.296,182.107,3.6,2.39,100.0,442514.0,14353.3,2752.06,208.113,2.5933333333333333,1.7959105553606136,2.353240505157972,0.5940894446393865,0,0,0,expansion,,,,71.16105263157894,,12.940906246886303,203187.0,2.397926273358799e-06,,1,,0,76.47058823529412,5,0,0,0,expansion
2019-06-01,,122.23,347696.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,,122.23,,122.23,255.213,182.115,3.6,2.38,98.2,442116.0,14408.7,2941.76,208.567,2.5966666666666667,1.671194894390049,2.815761567226649,0.7088051056099509,0,0,0,expansion,,,,73.46735294117647,,12.759083813759515,-69331.0,2.8760756522939578e-06,,1,131.96,1,76.47058823529412,5,0,0,0,expansion
2019-07-01,131.96,131.96,101153.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,1.3196,131.96,131.96,131.96,255.802,183.13,3.7,2.4,98.4,445304.0,14496.0,2980.38,209.188,2.6,1.826331335037068,3.06292961788599,0.5736686649629319,0,0,0,expansion,4.882498846360381,,0.0,72.31333333333335,1.8248363602839492,11.524389501078469,-246543.0,9.886014255632556e-06,51.58677414562826,0,131.96,0,76.47058823529412,5,0,0,0,expansion
2019-08-01,124.85,124.96,145103.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,1.2485,124.96,124.85,124.96,256.036,184.129,3.6,2.13,89.8,448519.0,14558.2,2926.46,210.01,2.6033333333333335,1.7376412106666406,3.8163928051459184,0.3923587893333593,0,0,0,expansion,4.827113016725782,-0.053879963625341,0.0008802816901408,71.45545454545454,1.747242401496164,11.885199114054824,43950.0,6.89165627175179e-06,48.762673998968886,0,124.85,0,76.47058823529412,5,0,0,0,expansion
2019-09-01,119.0,130.96,201282.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,1.19,130.96,119.0,130.96,256.43,183.76,3.5,2.04,93.2,444555.0,14590.6,2976.74,210.817,2.6066666666666665,1.6844977040391562,3.0402977948164045,0.3555022959608438,0,0,0,expansion,4.77912349311153,-0.0468562274729674,0.0913255956017105,72.98586956521739,1.6304525890955666,12.212462188851845,56179.0,4.968154132013792e-06,46.4064267051437,0,119.0,0,76.47058823529412,5,0,0,0,expansion
2019-10-01,129.02,128.98,162198.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,1.2902,128.98,129.02,128.98,257.155,183.061,3.6,1.83,95.5,445627.0,14617.4,3037.56,211.72,2.61,1.7339736996186297,2.2328823062487624,0.0960263003813706,0,0,0,expansion,4.859967431104096,0.0842016806722689,-0.0003101256008685,72.58066666666667,1.7776083621901149,11.996573090131202,-39084.0,6.165304134452953e-06,50.17207520755965,0,129.02,0,76.47058823529412,5,0,0,0,expansion
2019-11-01,140.0,84.95,55641.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,1.4,84.95,140.0,84.95,257.879,182.375,3.6,1.55,96.8,449040.0,14711.0,3140.98,212.76,2.6366666666666667,2.092290394862917,2.3774999316024115,-0.5422903948629167,0,0,0,expansion,4.941642422609304,0.0851030847930551,-0.6480282519128899,72.47295454545454,1.931755106136772,10.926675618557397,-106557.0,1.797235851260761e-05,54.289027024302094,0,140.0,0,76.47058823529412,5,0,0,0,expansion
2019-12-01,119.0,114.0,111219.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,1.19,114.0,119.0,114.0,258.63,178.974,3.6,1.55,99.3,449643.0,14774.8,3230.78,213.922,2.663333333333333,2.3195274699624457,4.828504285061497,-0.7695274699624457,0,0,0,expansion,4.77912349311153,-0.15,-0.043859649122807,72.36439999999999,1.644455008263732,11.619256509512498,55578.0,8.991269477337506e-06,46.01167691296447,0,119.0,0,76.47058823529412,5,0,0,0,expansion
2020-01-01,131.47,131.47,201180.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,1.3147,131.47,131.47,131.47,259.127,179.656,3.6,1.55,99.8,447774.0,14868.3,3225.52,215.004,2.69,2.599767976845202,4.0739483923150965,-1.049767976845202,0,0,0,expansion,4.878778688708513,0.1047899159663865,0.0,75.85657894736842,1.7331390609009385,12.21195530868833,89961.0,4.970673029128144e-06,50.735739618025136,0,131.47,0,76.47058823529412,5,0,0,0,expansion
2020-02-01,132.65,132.65,192109.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,1.3265,132.65,132.65,132.65,259.25,181.381,3.5,1.58,101.0,447972.0,14828.1,2954.22,215.852,2.61,2.3413166797595197,3.8910559979962622,-0.7613166797595197,0,0,0,expansion,4.8877140805837485,0.0089754316574124,0.0,74.95048780487805,1.7698350455748022,12.16581819825784,-9071.0,5.205378196752885e-06,51.16682738669239,0,132.65,0,76.47058823529412,5,0,0,0,expansion
2020-03-01,135.99,136.0,100793.0,9788072372,Jo Malone,fragrance,premium,US,AMAZON,LISTPRICE,SALES,1.3599,136.0,135.99,136.0,258.076,181.669,4.4,0.65,89.1,420954.0,13812.8,2584.59,216.404,2.53,1.4940399642909163,-3.9347689161927546,-0.8440399642909163,0,0,0,recovery,4.912581353620868,0.0251790425932907,7.352941176463901e-05,72.28782608695653,1.8812296255307888,11.520824187763584,-91316.0,9.921323901461411e-06,52.69378012678436,0,135.99,0,76.47058823529412,5,0,0,0,recession
